idx,x,y,dirty_value
0,0,25.01413,49.84206,-1
1,1,41.90963,45.76936,-1
2,2,-0.77873,47.96227,-1
3,3,26.99971,-8.23583,-1
4,4,-7.73942,-21.82566,-1
5,5,21.32457,-14.37158,-1
6,6,49.91677,-24.15056,-1
7,7,-24.33045,18.59816,-1
8,8,-8.46756,-49.45176,-1
9,9,30.2367,-43.77654,-1
10,10,-14.19328,34.15773,-1
11,11,29.99151,-38.91758,-1
12,12,-19.80268,-6.237,-1
13,13,-1.46909,49.81856,-1
14,14,-15.43596,-6.05089,-1
15,15,35.95385,4.46197,-1
16,16,-36.99834,24.8625,-1
17,17,21.68337,7.88226,-1
18,18,37.14132,-43.15099,-1
19,19,15.25085,49.47064,-1
20,20,-10.72991,37.4284,-1
21,21,-10.51635,-8.66024,-1
22,22,2.54283,17.45127,-1
23,23,-32.49459,-31.13506,-1
24,24,26.98446,42.04187,-1
25,25,13.58706,25.29483,-1
26,26,-1.56304,-17.44919,-1
27,27,-18.22143,21.11325,-1
28,28,-47.34364,-22.34567,-1
29,29,-38.59806,-17.35049,-1
30,30,48.40999,-36.45817,-1
31,31,34.40158,44.92156,-1
32,32,-43.25438,31.07887,-1
33,33,37.72657,37.16082,-1
34,34,-0.75902,-29.46988,-1
35,35,35.37225,48.62937,-1
36,36,-44.39565,25.79847,-1
37,37,-10.05129,13.21592,-1
38,38,22.40243,45.33224,-1
39,39,-17.3088,-40.10348,-1
40,40,3.68812,44.78743,-1
41,41,-39.78887,-5.53199,-1
42,42,-23.15553,33.03007,-1
43,43,12.54301,21.60378,-1
44,44,3.65841,46.81429,-1
45,45,-23.79043,-10.48642,-1
46,46,22.32494,49.48382,-1
47,47,-25.25097,36.51976,-1
48,48,21.23203,-6.8072,-1
49,49,-35.51343,12.08766,-1
50,50,11.66862,-33.93291,-1
51,51,27.05768,-25.23987,-1
52,52,23.86416,-15.82252,-1
53,53,-29.85793,7.37929,-1
54,54,-30.30315,-13.37483,-1
55,55,-35.18883,35.6213,-1
56,56,-28.14598,28.22747,-1
57,57,-16.26938,34.97062,-1
58,58,-5.88585,-44.01309,-1
59,59,34.41389,2.16187,-1
60,60,17.2001,-1.52387,-1
61,61,9.44747,-10.97297,-1
62,62,8.22662,9.58937,-1
63,63,35.14571,-1.86631,-1
64,64,5.05782,-2.7088,-1
65,65,-12.78875,3.57443,-1
66,66,18.22383,13.14507,-1
67,67,-32.90811,-22.36276,-1
68,68,-1.46998,5.56811,-1
69,69,-2.72433,17.5473,-1
70,70,-2.07299,3.50768,-1
71,71,-7.56671,-42.7041,-1
72,72,-1.88628,-49.54184,-1
73,73,-29.49004,28.6591,-1
74,74,-46.43968,44.50682,-1
75,75,32.56193,24.49879,-1
76,76,26.5349,-41.08929,-1
77,77,39.29348,-42.70431,-1
78,78,49.53485,-39.66564,-1
79,79,-44.74936,32.58159,-1
80,80,-29.45844,-8.58867,-1
81,81,47.65859,45.667,-1
82,82,10.53719,-43.22204,-1
83,83,45.27065,-10.82277,-1
84,84,7.25248,-36.41036,-1
85,85,42.04833,-6.70007,-1
86,86,-24.00738,33.63827,-1
87,87,-20.80377,9.98505,-1
88,88,-14.0958,27.67862,-1
89,89,-0.34149,-48.97528,-1
90,90,-20.74495,-8.55324,-1
91,91,31.87312,-24.5953,-1
92,92,-33.58966,10.55655,-1
93,93,31.92219,2.95693,-1
94,94,30.01123,-4.04645,-1
95,95,-45.43611,1.09313,-1
96,96,27.60003,-36.67585,-1
97,97,3.94577,-2.9357,-1
98,98,-38.62795,35.11662,-1
99,99,-10.1131,-14.14803,-1
100,100,26.33369,-11.17546,-1
101,101,-41.99296,-20.58401,-1
102,102,-38.94544,-13.97441,-1
103,103,-27.08213,-7.44894,-1
104,104,-19.2484,-8.18057,-1
105,105,-6.0214,27.19995,-1
106,106,24.50473,-5.41938,-1
107,107,44.14512,40.34008,-1
108,108,22.62712,45.3326,-1
109,109,45.27795,41.53621,-1
110,110,-37.05622,40.21409,-1
111,111,-43.93398,45.02203,-1
112,112,42.44376,-42.8992,-1
113,113,44.96832,0.508,-1
114,114,-3.89536,-31.81812,-1
115,115,49.67298,10.82883,-1
116,116,30.23229,-17.24456,-1
117,117,-49.91228,29.69007,-1
118,118,-9.70233,20.13444,-1
119,119,29.39816,7.01249,-1
120,120,13.8048,2.7543,-1
121,121,-41.60214,27.98457,-1
122,122,-40.42613,-32.57554,-1
123,123,-8.30989,-15.01947,-1
124,124,-14.96838,19.66841,-1
125,125,-23.92055,27.68475,-1
126,126,26.00978,-3.40868,-1
127,127,4.07163,29.54056,-1
128,128,-22.26267,-41.16558,-1
129,129,-0.49584,47.81224,-1
130,130,10.0473,-33.63692,-1
131,131,43.7532,-10.38704,-1
132,132,34.43989,2.10827,-1
133,133,-40.60686,7.14521,-1
134,134,-26.79857,37.40485,-1
135,135,-5.69448,28.93306,-1
136,136,-43.82514,-24.56644,-1
137,137,-40.92492,-7.12652,-1
138,138,26.81964,0.60878,-1
139,139,37.02147,-33.33551,-1
140,140,8.59815,-9.23697,-1
141,141,-30.26888,40.21266,-1
142,142,-15.42344,-3.30302,-1
143,143,5.4285,35.89329,-1
144,144,-17.34457,36.02123,-1
145,145,-14.33188,18.41775,-1
146,146,-16.09107,9.28329,-1
